category,epochs,latent_dim,train_seconds,eval_seconds,det_pr,det_auc,seg_pr,seg_auc,seg_pro,seg_iou,paper_seg_auc,seg_auc_delta,paper_seg_pro,seg_pro_delta
bottle,700,197,3025.877099275589,435.2446504943073,0.9988004046284074,0.996031746031746,0.5968952110539358,0.9589129849048459,0.914210762020978,0.4308185875415802,0.95,0.008912984904845933,0.92,-0.005789237979022088
cable,700,669,4409.908750534058,143.9744298197329,0.8785385667459003,0.7987256371814092,0.2803424441751941,0.9074867881016511,0.8203630460102875,0.21004357933998108,0.88,0.02748678810165106,0.77,0.050363046010287515
capsule,700,262,3350.6621108055115,155.44551793392748,0.9926015672328533,0.9684882329477463,0.409235235423016,0.9828645047076869,0.9483761653968685,0.298775315284729,0.98,0.0028645047076869545,0.96,-0.011623834603131433
hazelnut,1,514,0.0,0.0,0.9992277992277989,0.9985714285714287,0.5968620098418557,0.9777173350361416,0.9320849716069397,0.44586050510406494,0.98,-0.0022826649638584273,0.97,-0.03791502839306027
metal_nut,1,532,0.0,0.0,0.8521671492945196,0.6089931573802542,0.21769919944086494,0.6989773398763017,0.40765037818485794,0.22219218313694,0.9,-0.2010226601236983,0.87,-0.46234962181514205
pill,1,396,20.475489139556885,30.747608687728643,0.9332120926231797,0.7321331151118384,0.155925393185824,0.8441342430572413,0.7637447202318579,0.0784921795129776,0.96,-0.11586575694275869,0.96,-0.19625527976814205
screw,1,433,17.00688624382019,21.31210297998041,0.8164387610292531,0.5720434515269524,0.02558266448741082,0.9428494066869971,0.8018825488610206,0.030139368027448654,0.99,-0.047150593313002864,0.95,-0.14811745113897934
toothbrush,1,339,5.086017608642578,6.8768943613395095,0.8547039996977892,0.6694444444444445,0.07847996910431802,0.834504588968253,0.5846341870225757,0.0634261891245842,0.98,-0.145495411031747,0.93,-0.3453658129774243
transistor,1,407,14.089059591293335,18.754553781822324,0.4651339812843224,0.47625,0.09110282207232148,0.6383217668373588,0.31424165294211615,0.1379164755344391,0.75,-0.11167823316264125,0.77,-0.4557583470578839
zipper,1,128,18.247169733047485,26.57578180450946,0.9036940407430778,0.7087710084033614,0.1259065770420247,0.7827753317303733,0.4569215941839975,0.0907636359333992,0.96,-0.17722466826962668,0.89,-0.4330784058160025
carpet,1,383,0.0,0.0,0.9695434053406351,0.8996789727126805,0.29617205304804817,0.8712423448833949,0.7419923485811994,0.24655459821224213,0.96,-0.08875765511660505,0.93,-0.1880076514188006
grid,1,209,0.0,0.0,0.8703488797947361,0.6967418546365914,0.01165144853224613,0.5313162187210484,0.2616153265361562,0.041874174028635025,0.98,-0.4486837812789516,0.93,-0.6683846734638439
leather,1,432,0.0,0.0,0.9730110947241521,0.9201766304347827,0.41401185609389435,0.9593792318882638,0.8661111085720897,0.28927433490753174,0.99,-0.030620768111736196,0.97,-0.10388889142791025
tile,1,633,15.436273574829102,22.65986891463399,0.9256371119430419,0.8358585858585857,0.17413399746229138,0.6759887121419551,0.4797290889010631,0.15533015131950378,0.86,-0.18401128785804488,0.79,-0.31027091109893695
wood,1,437,43.60783624649048,39.91782826650888,0.9889504951508999,0.962280701754386,0.38067212710381365,0.9260594219458371,0.778250536316512,0.28278648853302,0.94,-0.013940578054162822,0.93,-0.15174946368348807
